row ID	row m/z	row retention time	OOI-3cm-B Peak area	OOI-7cm-B Peak area	OOI-8cm-B Peak area	OOI-0cm-B Peak area	OOI-4cm-B Peak area	OOI-2cm-B Peak area	OOI-5cm-B Peak area	115-9 Peak area	123-8cm-B Peak area	123-9cm-B Peak area	123-5cm-B Peak area	123-4 Peak area	123-7 Peak area	123-3 Peak area	123-6 Peak area	064-7 Peak area	085-8cm-A Peak area	085-9cm-B Peak area	115-4cm-B Peak area	115-8 Peak area	123-2cm-B Peak area	123-0 Peak area	115-5 Peak area	115-3 Peak area	115-7 Peak area	085-5cm-B Peak area	115-1 Peak area	064-9 Peak area	064-5cm-B Peak area	115-2cm-B Peak area	OOI-6 Peak area	085-7cm-B Peak area	085-6 Peak area	123-1 Peak area	115-6 Peak area	085-0 Peak area	085-4 Peak area	064-2cm-B Peak area	115-0 Peak area	085-2 Peak area	064-6 Peak area	085-1 Peak area	064-4 Peak area	085-3 Peak area	064-8 Peak area	064-3 Peak area	064-1 Peak area	064-0 Peak area	
1279	522.5958130158270	17.290195	134.75577	99.999664	23.461018	109.2374	87.75873	0	170.97444	549.61414	788.7673	428.8813	544.585	241.3222	524.1338	410.83252	524.8895	0	0	0	529.8708	465.221	279.96722	268.1863	71.32427	84.08122	485.20032	0	156.9122	0	0	371.34134	418.56488	40.700047	0	211.90958	129.67052	131.57677	0	143.04346	460.2335	102.63883	0	240.43192	0	25.620459	0	61.648636	0	36.26229	
1308	603.3806676155410	17.402985	2561.6826	2238.5808	2276.4167	428.59775	2595.6343	1623.1238	1439.6136	5500.679	10674.425	10547.666	11047.762	9850.167	9028.728	8801.3545	10511.55	0	259.8972	54.990402	6550.467	5238.166	11088.06	2877.2673	18051.83	26965.584	19225.408	540.8739	2643.8516	47.853367	594.045	4061.2434	1258.768	398.9053	1906.294	9085.19	12695.522	5012.7886	6237.036	1621.4362	11144.206	10653.112	261.45328	6956.7173	810.35474	8552.355	70.99974	2713.8323	1804.7676	1443.4872	
1201	656.4296931262860	17.116053	0	0	33.20885	0	0	0	0	394.09213	487.7409	479.86206	484.4867	166.35565	510.54617	375.40186	540.0801	0	64.27542	0	516.08563	504.20984	484.76947	183.50795	541.3652	610.7994	589.96246	28.711987	38.75456	0	142.04724	150.3086	0	186.84018	171.4949	197.17407	668.4319	150.83594	164.47836	267.59265	305.06738	257.64893	63.192978	209.5908	122.249214	147.58333	0	451.2809	271.46848	164.34555	
1914	540.5348655031340	19.66545	108.33397	131.25005	233.35928	62.013756	147.05371	254.85255	255.51216	196.455	109.19387	139.04915	149.28358	209.61772	180.17177	220.07016	202.7496	190.19012	522.8789	231.42279	187.5283	263.22043	180.53056	109.7654	138.15627	134.80011	90.238754	926.9111	52.613865	497.26346	259.89584	155.37813	243.08566	593.446	492.07675	135.67332	128.47136	245.52892	411.19513	306.30664	122.2029	139.73177	372.9887	169.9704	390.0376	172.57953	269.05185	443.92212	217.60643	253.80484	
335	447.2511925229570	13.740128	0	0	42.644653	0	0	0	0	0	110.90477	0	127.42828	60.43959	48.12938	0	145.57721	0	0	0	262.42978	167.09167	166.51361	74.0957	0	76.80751	0	0	37.308426	0	0	187.32822	0	0	0	76.42812	87.66784	0	0	0	0	0	0	0	0	0	0	0	0	0	
772	681.4114675528120	16.036245	0	0	85.71446	0	44.864388	0	0	403.26877	89.78146	101.408585	118.43806	680.29944	606.88617	835.03467	930.6669	0	0	0	683.9804	398.06238	356.08817	18807.883	153.55882	647.40814	74.04348	0	82.91429	0	0	1019.25916	0	0	124.65914	5929.411	182.1292	640.9359	0	298.9953	1684.3785	52.33304	0	189.09668	0	49.349594	0	706.58923	138.35225	3933.3076	
932	1025.7967927912100	16.611353	0	0	0	0	0	0	0	0	0	0	22.272282	0	0	0	0	0	0	0	35.232887	0	0	0	0	0	0	422.63022	0	0	65.572205	0	0	89.50096	97.74672	0	0	0	118.24505	103.78824	41.904423	0	0	0	0	0	0	98.43977	69.872215	54.11107	
2239	747.6197042169400	20.650621	0	0	0	0	0	0	0	0	0	0	0	0	48.664444	0	38.447895	101.00105	0	0	0	41.817093	0	0	0	0	0	0	0	0	2501.2976	0	0	0	0	0	0	0	0	1803.7614	0	0	591.63116	49.636375	989.15875	38.974754	122.85355	1355.8531	1721.5023	452.7947	
770	641.4168079011400	16.023985	0	0	0	0	0	0	0	209.5997	34.16956	60.99716	0	217.26935	565.871	276.2141	358.59338	0	0	0	218.76453	458.65564	222.45801	2709.0217	140.07753	305.46817	107.28961	0	0	0	0	274.54062	0	0	0	1052.9346	135.00731	133.25949	0	92.94887	267.21448	62.25627	0	74.16719	0	52.4686	0	234.27942	112.99553	596.1152	
1566	520.5077099328740	18.369993	0	0	0	0	0	0	0	39.708473	0	0	0	0	0	0	0	51.592808	38.262955	41.98872	0	63.702145	0	0	0	0	0	0	0	326.57263	57.940178	0	0	44.21641	0	0	0	0	0	50.34398	0	0	50.47905	0	0	0	168.84464	0	65.45066	0	
